taxonID,parentTaxonID,scientificName
SH201649.07FU,Helotiales_sp,SH201649.07FU
Tricholomataceae,Agaricales,Tricholomataceae
Delicatula,Tricholomataceae,Delicatula
Delicatula_integrella,Delicatula,Delicatula_integrella
SH190595.07FU,Delicatula_integrella,SH190595.07FU
SH183029.07FU,Phaeosphaeriaceae_sp,SH183029.07FU
Geoglossomycetes,Ascomycota,Geoglossomycetes
Geoglossales,Geoglossomycetes,Geoglossales
Geoglossaceae,Geoglossales,Geoglossaceae
Sarcoleotia,Geoglossaceae,Sarcoleotia
Sarcoleotia_turficola,Sarcoleotia,Sarcoleotia_turficola
SH192786.07FU,Sarcoleotia_turficola,SH192786.07FU
Hygrocybe_reidii,Hygrocybe,Hygrocybe_reidii
SH191907.07FU,Hygrocybe_reidii,SH191907.07FU
Mortierella_pseudozygospora,Mortierella,Mortierella_pseudozygospora
SH208762.07FU,Mortierella_pseudozygospora,SH208762.07FU
unidentified,Agaricomycetes,unidentified
Agaricomycetes_sp,unidentified,Agaricomycetes_sp
SH483975.07FU,Agaricomycetes_sp,SH483975.07FU
Cortinarius_roseocastaneus,Cortinarius,Cortinarius_roseocastaneus
SH540681.07FU,Cortinarius_roseocastaneus,SH540681.07FU
Mycenaceae,Agaricales,Mycenaceae
Mycena,Mycenaceae,Mycena
Mycena_sanguinolenta,Mycena,Mycena_sanguinolenta
SH220731.07FU,Mycena_sanguinolenta,SH220731.07FU
Cortinarius_sp,Cortinarius,Cortinarius_sp
SH188569.07FU,Cortinarius_sp,SH188569.07FU
Russula_fellea,Russula,Russula_fellea
SH218426.07FU,Russula_fellea,SH218426.07FU
Melampsoridium_hiratsukanum,Melampsoridium,Melampsoridium_hiratsukanum
SH217528.07FU,Melampsoridium_hiratsukanum,SH217528.07FU
Thelephora,Thelephoraceae,Thelephora
Thelephora_terrestris,Thelephora,Thelephora_terrestris
SH184510.07FU,Thelephora_terrestris,SH184510.07FU
SH180923.07FU,Archaeorhizomyces_sp,SH180923.07FU
Inocybe_sp,Inocybe,Inocybe_sp
SH186758.07FU,Inocybe_sp,SH186758.07FU
SH023350.07FU,Fungi_sp,SH023350.07FU
Lactarius,Russulaceae,Lactarius
Lactarius_quietus,Lactarius,Lactarius_quietus
SH220118.07FU,Lactarius_quietus,SH220118.07FU
Solicoccozyma_phenolica,Solicoccozyma,Solicoccozyma_phenolica
SH357827.07FU,Solicoccozyma_phenolica,SH357827.07FU
Agaricaceae,Agaricales,Agaricaceae
Chlorophyllum,Agaricaceae,Chlorophyllum
Chlorophyllum_rachodes,Chlorophyllum,Chlorophyllum_rachodes
SH209450.07FU,Chlorophyllum_rachodes,SH209450.07FU
Apiotrichum_dulcitum,Apiotrichum,Apiotrichum_dulcitum
SH329706.07FU,Apiotrichum_dulcitum,SH329706.07FU
Mortierella_pulchella,Mortierella,Mortierella_pulchella
SH193939.07FU,Mortierella_pulchella,SH193939.07FU
Mortierella_horticola,Mortierella,Mortierella_horticola
