digitalEntityID,digitalEntityType,accessURI,webStatement
21072,sequence,,
21079,sequence,,
21086,sequence,,
21093,sequence,,
21100,sequence,,
21107,sequence,,
21114,sequence,,
21121,sequence,,
21128,sequence,,
21135,sequence,,
21142,sequence,,
21149,sequence,,
21156,sequence,,
21163,sequence,,
21170,sequence,,
21177,sequence,,
21184,sequence,,
21191,sequence,,
21198,sequence,,
21205,sequence,,
21212,sequence,,
21219,sequence,,
21226,sequence,,
21233,sequence,,
21240,sequence,,
21247,sequence,,
21254,sequence,,
21261,sequence,,
21268,sequence,,
21275,sequence,,
21282,sequence,,
21289,sequence,,
21296,sequence,,
21303,sequence,,
21310,sequence,,
21317,sequence,,
21324,sequence,,
21331,sequence,,
21338,sequence,,
21345,sequence,,
21352,sequence,,
21359,sequence,,
21366,sequence,,
21373,sequence,,
21380,sequence,,
21387,sequence,,
21394,sequence,,
21401,sequence,,
21408,sequence,,
21415,sequence,,
21422,sequence,,
21429,sequence,,
21436,sequence,,
21443,sequence,,
21450,sequence,,
21457,sequence,,
21464,sequence,,
21471,sequence,,
21478,sequence,,
21485,sequence,,
21492,sequence,,
21499,sequence,,
21506,sequence,,
21513,sequence,,
21520,sequence,,
21527,sequence,,
21534,sequence,,
21541,sequence,,
21548,sequence,,
21555,sequence,,
21562,sequence,,
21569,sequence,,
21576,sequence,,
21583,sequence,,
21590,sequence,,
21597,sequence,,
21604,sequence,,
21611,sequence,,
21618,sequence,,
21625,sequence,,
21632,sequence,,
21639,sequence,,
21646,sequence,,
21653,sequence,,
21660,sequence,,
21667,sequence,,
21674,sequence,,
21681,sequence,,
21688,sequence,,
21695,sequence,,
21702,sequence,,
21709,sequence,,
21716,sequence,,
21723,sequence,,
21730,sequence,,
21737,sequence,,
21744,sequence,,
21751,sequence,,
21758,sequence,,
21765,sequence,,
21772,sequence,,
21779,sequence,,
21786,sequence,,
21793,sequence,,
21800,sequence,,
21807,sequence,,
21814,sequence,,
21821,sequence,,
21828,sequence,,
21835,sequence,,
21842,sequence,,
21849,sequence,,
21856,sequence,,
21863,sequence,,
21870,sequence,,
21877,sequence,,
21884,sequence,,
21891,sequence,,
21898,sequence,,
21905,sequence,,
21912,sequence,,
21919,sequence,,
21926,sequence,,
21933,sequence,,
21940,sequence,,
21947,sequence,,
21954,sequence,,
21961,sequence,,
